,Jahr,"Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Total","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Pocken","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Schar-","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Masern","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Typhus,","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Diph-","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Keuch-","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Keuch-",Infektions- und parasitäre Krankheiten | Tuberkulose | Total,Infektions- und parasitäre Krankheiten | Tuberkulose | Atmungsorgane,Infektions- und parasitäre Krankheiten | Tuberkulose | Atmungsorgane,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Total,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Epidem.,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Rotlauf,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Syphilis,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Aids,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Aids,Infektions- und parasitäre Krankheiten | Total | Aids,Infektions- und parasitäre Krankheiten | Total | Aids,Atmungsorgane | Total | Aids,Atmungsorgane | Grippe | Aids,Atmungsorgane | Lungen- | entzün-,Atmungsorgane | Bron- | chitis,Atmungsorgane | Bron- | chitis,Jahr | Bron- | chitis,Neubildungen | Total | chitis,Neubildungen | Krebs (bösartige Geschwülste) | Total,"Neubildungen | Krebs (bösartige Geschwülste) | Magen,",Neubildungen | Krebs (bösartige Geschwülste) | Weibl.,Neubildungen | Krebs (bösartige Geschwülste) | Bron-,Neubildungen | Krebs (bösartige Geschwülste) | Bron-,Nervensystem und Kreislauforgane | Total | Bron-,Nervensystem und Kreislauforgane | Nervensystem | Total,Nervensystem und Kreislauforgane | Nervensystem | Hirn-,Nervensystem und Kreislauforgane | Kreislauforgane | Total,Nervensystem und Kreislauforgane | Kreislauforgane | Herz-,Nervensystem und Kreislauforgane | Kreislauforgane | Arterien-,Nervensystem und Kreislauforgane | Kreislauforgane | Arterien-,"Blut, Stoffwechsel 8) | Total | Arterien-","Blut, Stoffwechsel 8) | Anämie, | Leukä-","Blut, Stoffwechsel 8) | Zucker- | krankheit","Blut, Stoffwechsel 8) | Zucker- | krankheit","Ernährungsapparat, Verdauungsorgane | Total | krankheit","Ernährungsapparat, Verdauungsorgane | Magen-Darm-Katarrh | Säuglinge","Ernährungsapparat, Verdauungsorgane | Magen-Darm-Katarrh | Erwach-","Ernährungsapparat, Verdauungsorgane | Magen- | Darm-","Ernährungsapparat, Verdauungsorgane | Blind- | darm-","Ernährungsapparat, Verdauungsorgane | Leber- | zirrhose","Ernährungsapparat, Verdauungsorgane | Leber- | zirrhose",Harnapparat | Total | zirrhose,Harnapparat | Nieren- | entzün-,Harnapparat | Nieren- | entzün-,Jahr | Nieren- | entzün-,Gewaltsamer Tod | Total | entzün-,Gewaltsamer Tod | Selbst- | tötung,Gewaltsamer Tod | Unfälle | Total,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Sturz,Gewaltsamer Tod | Unfälle | Er-,"Gewaltsamer Tod | Mord, Totschlag, | unklare Ursache","Gewaltsamer Tod | Mord, Totschlag, | unklare Ursache","Gewaltsamer Tod | Mord, Totschlag, | unklare Ursache",Übrige bekannte Todesursachen | Total | unklare Ursache,Übrige bekannte Todesursachen | Chroni- | scher,Übrige bekannte Todesursachen | Schwanger- | schaft u.,Übrige bekannte Todesursachen | Angeborene Säug- | lingskrankheiten,Übrige bekannte Todesursachen | Angeborene Säug- | lingskrankheiten,Übrige bekannte Todesursachen | Alters- | schwäche,Übrige bekannte Todesursachen | Alters- | schwäche,Unbekannte Todesursachen | Arzt | beige-,Unbekannte Todesursachen | Arzt | nicht bei-,Unbekannte Todesursachen | Total | nicht bei-,Unbekannte Todesursachen | Total | nicht bei-,Gesamt- | total | nicht bei-
136,1906/10,1883.4,5.8,142.4,426.2,148.6,528.8,631.6,,8698.8,6208.4,6127.8,2490.4,922.6,524.8,,906.2,19.8,108.2,182.2,...,,11488.4,,8402.2,679.2,4143.6,...,,1906/10,4592.6,4339,2644.6,252.8,26.4,,12279,3529.4,1754.8,8749.6,5902.8,2362.2,,1171.2,293.4,259,,5590.2,2884.6,413.2,232.4,420.8,467.2,,1413.4,1253.8,,1906/10,3060.2,813.4,2088,271.6,...,...,...,632.2,307,158.8,84.4,,7906.4,214,532.4,3786.2,3034.4,2440,,754,1755.8,2509.8,,58413.4
137,1911/15,1376.8,3.2,91.6,287.6,124,413.2,457.2,,7762,5565.8,5495.4,2196.2,774.2,522.8,,909,30.8,85.4,174.6,...,,10047.8,,7671.4,686.6,3906.4,...,,1911/15,4867.2,4602,2807,287.6,35,,12669,3322.2,1607.6,9346.8,5827.4,3139.2,,1246.4,341.2,300.8,,4768.8,2182.6,382.6,244.4,417.4,437.8,,1376,1228.6,,1911/15,3213.2,904.4,2098.4,289.2,...,...,...,628.6,317.2,210.4,78.8,,6901.6,173.8,480,3132,2464.4,2109.8,,767.2,1331.6,2098.8,,54860.2
138,1916/20,1273.8,-,57.4,214,83,521.2,398.2,,7597.8,5558.6,5480.8,2039.2,660.6,518.4,,884.6,22,91.8,182.2,...,,9756.2,,12932.4,6048,4256.8,...,,1916/20,5126.4,4833.4,2915.6,334.8,51,,12887.4,3145.2,1615.8,9742.2,5827.2,3557,,1108.6,297,280,,3268.8,1034.8,272.6,332.8,396.6,328.6,,1393,1249.2,,1916/20,2927.8,785.6,1912.2,262.2,...,...,...,606.4,266.6,230,58.4,,6188.4,179.2,427.8,2407.6,1894.2,2241.6,,983.6,1404.8,2388.4,,57977.4
139,1921/25,699.4,3,29.2,93.2,62.6,280,231.4,,6080.8,4636.2,4539.4,1444.6,463.2,293.8,,925,27.8,81.8,213.6,...,,7705.2,,6350.4,1060.4,3463.8,1170,,1921/25,5486.6,5174.2,3024.8,369.8,79.2,,12699.2,3024,1621,9675.2,5802.6,3490.4,,1104.4,285.6,337,,2914.4,813.8,83.8,299.6,387.8,293.4,,1606.4,1385.4,,1921/25,3008,899.8,1847,364,284.2,83.4,1.6,505,236.2,261.2,53.6,,5533.4,416.4,369.4,2010.6,1477.2,2130.4,,775,1348.6,2123.6,,48531.6
140,1926/30,545.8,0.2,31.8,104.2,57.4,179.6,172.6,,5433.4,4163.2,4088.2,1270.2,379.2,278.2,,922,25.4,81.8,187.8,...,,6901.2,,6141.8,1301.4,3192.2,1061.8,,1926/30,5875,5580.6,3254.4,428,135.4,,14078,3331,1885.4,10747,6319.6,4030.8,,1191.8,300,410,,2894.4,532.4,81.2,325.6,471,350.6,,1319.4,1082,,1926/30,3443.2,1012.2,2235,601,524,81.8,1.6,614,244.2,196,62.2,,4995.4,388,299.4,1761.6,1247,1714.8,,608,770.6,1378.6,,48218.8
141,1931/35,339.4,-,30.8,61,36,107.2,104.4,,4468.2,3425,3367.8,1043.2,272.8,227.6,,835.4,35.2,88.6,253.4,...,,5643,,5770.6,1455,2764.6,778.6,,1931/35,6336.8,5920.4,3395.8,473,180.4,,15108.2,2745.6,1558.8,12362.6,6841.6,4848.4,,1222.2,269.4,526.4,,3041.6,354.4,...,338,527.2,557.6,,1456.8,1166,,1931/35,3662.6,1109.2,2345.6,689,620.4,69,6,696.8,202.8,207.8,70.2,,4895.6,116.6,303.8,1613,1098,1596.4,,992.8,578.8,1571.6,,48709
142,1936/40,250.4,-,30.4,45.2,25.6,41.2,108,,3539,2734,2692.4,805,195.4,178,,780.8,84.8,50.6,218.4,...,,4570.2,,5582.2,1220.6,2915.6,696.4,,1936/40,7135.2,6578.8,3623.6,544.4,263,,16653.8,2553.8,1380.4,14100,7850.2,5251.4,,1246,262,612.4,,2864.8,236.8,...,294.6,496.4,470.6,,1539.6,1193.6,,1936/40,3386.2,1036.6,2170.6,640,568.6,70.6,7.8,723,148.6,179,52.8,,4620.2,64.4,255.8,1564.8,1026.8,1431.8,,773,377.4,1150.4,,48748.6
143,1941/45,271.8,-,10.4,17.8,28.8,136.4,78.4,,3479.4,2684.2,2647,795.2,186,177.8,,843.2,103.6,26.6,213.4,...,,4594.4,,4142.2,535.4,2380.8,522.4,,1941/45,7699,7041.6,3713.4,617.4,359.4,,18398,2559,1356.2,15839,8637.8,5839.8,,1087.6,272.2,428,,2703.4,277.4,...,402.2,342.2,379,,1297.2,1067.2,,1941/45,3518,1081,2239,386,284.8,105.2,2,804.4,201.8,198,60.6,,4741,65,188.6,1975.4,1320.2,1205.4,,591.4,246.8,838.2,,49019
144,1946/50,239.8,-,11.4,14.2,17.8,123.2,73.2,,2491.4,1954.2,1930.6,537.2,135.2,98.4,,698.8,67.2,16.8,158.2,...,,3430,,3426.6,482.2,1896,385.8,,1946/50,8238.4,7460.4,3700.6,695.8,546.2,,21071.8,2305.2,1275.4,18766.6,9737.6,6738.6,,1213.8,376.6,500.2,,2547,229.4,...,352,309.2,451.8,,1273.6,1022.6,,1946/50,3642.6,1108.6,2402.2,770,651.6,114.2,9.6,763.6,176.8,131.8,42.6,,4330,101,144,2069.4,1303.6,949.8,,347.6,120.2,467.8,,49641.6
145,1951/55,74.4,-,2.8,18.6,11.2,13.6,28.2,,1217.2,958.4,942,258.8,50.2,50.4,,612.6,77.4,7,110.2,...,,1904.2,,3032.8,740.2,1286.8,396,,1951/55,8883,8035.2,3680,768.2,797.6,,22939.8,2190.4,1335,20749.4,9171.8,8057.4,,1337.6,343.8,685.6,,2443,108.8,...,343.4,209.6,608.8,,1203,966.8,,1951/55,3833.4,1057.2,2689.8,1023,915.8,100,13.2,853.6,185.8,86.4,52,,3694.6,78.4,97,1777.2,1032.4,780,,50.8,25.6,76.4,,49347.8
146,1956/60,40.2,-,1.6,8.8,7.8,7.4,14.6,,796.2,649.4,638,146.8,15.6,31,,552.6,36.2,7.8,85.8,...,,1389,,3309,1048.4,1197.4,394.2,,1956/60,9520.2,8475.2,3505,823,989.4,,24227.8,2068.2,1247.8,22159.6,8869.6,9282.6,,1338,359.6,688.4,,2478.8,84.4,...,360,156.8,657,,1109.8,783.4,,1956/60,4071,1056.8,2945.8,1262,1152.8,103.4,12.2,900.8,201,68.4,33.8,,3284.8,83.4,62.8,1666.6,932.8,558.8,,62.6,27.2,89.8,,50818.2
147,1961/64,30,-,1.5,7.25,8.25,3.5,9.5,,547,454.25,447.5,92.75,8.25,17.25,,543.5,11.75,7,55.25,...,,1120.5,,3141.25,618.5,1207.75,420.5,,1961/64,10144.75,8957.5,3428,899,1193.25,,25805.75,2342,1418.5,23463.75,9494.5,9708.5,,1777.25,397,1040.25,,2728.5,79.75,...,358.25,128,804,,1106,597.25,,1961/64,4555.75,1000.25,3440.25,1531.25,1381.25,126,29.5,1119.75,180,115.25,42.5,,3490,181.25,50.5,1759.25,1017,446,,238.5,73.5,312,,54181.75
148,1965/68,16,-,1.25,4.5,5.5,1,3.75,,448,371.5,366.25,76.5,6.75,12.25,,502.75,4.25,4,42.5,...,,966.75,,3401.75,603.25,1201,549.75,,1965/68,10918.75,9634.25,3398.75,1016,1447,,26790.25,2559.25,1658,24231,9499.5,10086.25,,1929.5,414,1165.5,,2774.5,61.75,...,368.75,94.25,904.5,,1046,450.5,,1965/68,4585.25,1066,3401,1538.75,1376.25,116.25,51.25,1146,157.25,118.25,40,,3163.25,150.5,37.25,1519.5,913.75,294.25,,368,22.75,390.75,,55966.75
149,1969/72,11.25,-,0.75,5,3.25,0.5,1.75,,370,307.75,288.5,62.25,...,...,,610,7,-,38,...,,991.25,,3950.5,731.5,1346,673.5,,1969/72,11798.5,10431,3378,1111,1768.75,,26072.25,2835.5,1957,23236.75,9028.25,8781.25,,2494,551,1598,,2736.75,34.25,...,363.5,88,965.5,,1236,440.25,,1969/72,5064.25,1150.75,3779.5,1871.25,1691.5,130.5,52.75,1170.75,140.5,134,48.75,,2664.75,...,25,1063.25,...,239.25,,350.5,0.75,351.25,,57359.5
150,1973/76,5.75,-,0.75,3.5,0.75,-,0.75,,292,238.75,223.25,53.25,...,...,,686.5,-,-,24,...,,984.25,,3841.75,639.75,1280.25,745.25,,1973/76,12579.25,11288.5,3374.75,1216.25,2123.75,,26245.25,2794.75,2103,23450.5,9052.75,8330.5,,2331.25,540,1451.25,,2522.5,14.5,...,376.25,73.75,857.75,,1082.25,405.5,,1973/76,4708.75,1331.5,3278,1461.25,1313.5,103.75,50.5,1157,125,99.25,55,,1998.75,...,9.75,721,...,196.75,,308.25,0.75,309,,56603
151,1977/80,2,-,0.5,1.25,0.25,-,-,,159.75,131.5,121.75,28.25,...,...,,719.25,0.5,-,18,...,,881,,3607.5,275.75,1308.25,844,,1977/80,13032.75,11612.75,3226.75,1270.5,2324.75,,27941.5,3007.75,2367.75,24933.75,9654,7725.5,,2085.75,547.75,1218.75,,2301.5,0.75,...,351,47.5,835.75,,948.5,323,,1977/80,4682.5,1550.25,3024.25,1375,1271,87.5,22.5,1075,96.75,108,54.5,,1653.75,...,6.75,477,...,217,,346.75,0.25,347,,57481.75
152,1981/84,1.25,-,-,0.5,0.5,-,0.25,,154.75,129.5,124.75,25.25,...,...,,485.75,0.25,-,10.5,...,,641.75,,3422.75,358.5,951,908.25,,1981/84,14490,12605.5,3266.5,1456.75,2513.75,,28504,3620.25,2772.75,24883.75,9380.75,6490.25,,2298.75,596.5,1338.5,,2153.75,2.5,...,343.5,37,805.5,,828.5,223.5,,1981/84,4985,1576.75,3218.75,1252.5,1154.25,84.25,21.5,1356.5,80.5,189.5,78.25,,1782.5,...,4.75,387.5,...,205.25,,473.75,0.5,474.25,,59581.25
153,1985/88,1.75,-,0.25,0.5,0.5,0.5,-,,112.75,93.5,92.75,19.25,...,...,,410,-,-,12.5,85,,524.5,,3682.75,318.5,1405.25,1001.25,,1985/88,16105,6884,3235.25,1617.25,2692.25,,27274,1918.75,1475.25,11828.75,4382,2617.75,,1166.75,...,1318,,...,...,...,...,22.5,739.5,,787.5,219.25,,1985/88,5038,1539.5,3285.25,1053.75,959.75,71.25,28.5,1556,79.5,213.25,79,,...,...,5,...,...,107.25,,268.25,-,268.25,,59961.75
154,1989/92,0.5,-,0.25,0.25,-,-,-,,73,55.75,55.75,17.25,...,...,,813.75,-,-,11.75,400.5,,887.25,,4385.75,482,1598.25,1248.5,,1989/92,16798.25,...,3141.5,1664,2729.25,,27343,...,...,...,...,...,,...,...,1360.75,,...,...,...,...,15,646.25,,711.5,173.5,,1989/92,5215,1489,3411.75,1001.25,893.25,78.75,35.25,1586.75,82.5,314.25,94,,...,...,2.25,...,...,...,,...,...,...,,62389.25
155,1993/96,0.25,-,-,-,-,0.25,-,,43.25,26.25,26.25,17,...,...,,1010,-,-,9.5,563.25,,1053.5,,4198,265.75,1650,1484.75,,1993/96,15981.25,...,2860.75,1551.75,2671.75,,26433.5,...,...,...,...,...,,...,...,1613.25,,...,...,...,...,16,610.75,,697.5,127.25,,1993/96,4631.75,1440,2964,736.25,677.5,42.25,23.25,...,...,227.75,51,,...,...,-,...,...,...,,...,...,...,,62630.75
156,1997/00,0.75,-,-,0.25,-,-,0.5,,33.25,20.5,20.5,12.75,...,...,,701.25,-,-,0.5,164,,735.25,,4596.25,314.5,1689.25,1780.25,,1997/00,15327.5,...,2628.25,1343.75,2675.5,,25450.5,...,...,...,...,...,,...,...,1634,,...,...,...,...,15,545.5,,...,...,,1997/00,4340.5,1346.5,2846.5,646.25,589.75,40.25,21.25,...,...,147.5,-,,...,...,0.25,...,...,...,,...,...,...,,62609.75
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1877/80,4638.5,115.25,1184.25,291.75,979.5,1454.25,613.5,,6913.25,5749.75,...,1163.5,...,...,,762,...,146,46,...,,12313.75,,8991.25,78.25,4738,...,,1877/80,...,...,...,...,...,,9036,...,2175.75,...,...,...,,952.5237500000001,336,34,,6600,4047.75,513.75,240,59.75,442.25,,760,...,,1877/80,2529.25,659.5,1663.25,148.5,...,...,...,496,379.75,206.5,104.75,,...,228.5,713.5,...,...,...,,1168,10966.75,12134.75,,64134.5
159,1881/90,3447.6,95.1,259.5,354.6,655.3,1418.9,664.2,,7969.6,6306.5,...,1663.1,776.3,548.7,,799.7,...,152.3,66.4,...,,12216.9,,9602.6,116.1,5095.6,...,,1881/90,3274.9,3157.5,1693.6,144.5,...,,9608.3,...,2427.2,...,...,...,,846.82,260.5,65.2,,5946.4,3461.7,539.5,254.8,79,414.1,,1064.2,...,,1881/90,2398.3,657.6,1606.3,156.3,...,...,...,490.2,335.3,134.4,82.6,,8852.08,271.2,663.3,...,...,...,,351.2,6254.2,6605.4,,60415.9
160,1891/00,2635.8,17.2,124.4,456,302.7,1168.9,566.6,,8306.6,6173.1,...,2133.5,876.5,637.5,,799.9,...,130.3,121.4,...,,11742.3,,9875.9,242.8,5087.4,...,,1891/00,4037.6,3905.6,2161.3,181.4,15.4,,9852.4,...,2317.2,...,...,...,,1058.72,271.7,135.5,,6152,3786.2,474.6,231.7,211.1,355.5,,1342.1,...,,1891/00,2607.6,688.6,1781.3,223.9,...,...,...,533.4,349.5,137.7,89.8,,8578.68,333.1,536.2,3721.9,...,...,,416.3,3702.2,4118.5,,59365.8
161,1901/10,2176.2,11.2,160.9,543.9,179.8,623.7,656.7,,8895.7,6330,6262.2,2565.7,986.5,579.1,,890.6,14.3,109.7,171.5,...,,11962.5,,8730.1,472.2,4252.1,...,,1901/10,4495.7,4264,2620.5,238,23.6,,11659.7,3473.8,1765.3,8185.9,5539.1,2182.3,,1162.9,264,230.4,,6021.3,3354,435.4,235,397,444,,1383.5,1206.6,,1901/10,3023.6,800.3,2074.8,265.2,...,...,...,647.3,322.3,148.5,88.6,,8002.9,219.2,554,3899.6,3235.8,2407.7,,731.6,2033.2,2764.8,,59207
162,1911/20,1325.3,1.6,74.5,250.8,103.5,467.2,427.7,,7679.9,5562.2,5488.1,2117.7,717.4,520.6,,896.8,26.4,88.6,178.4,...,,9902,,10301.9,3367.3,4081.6,...,,1911/20,4996.8,4717.7,2861.3,311.2,43,,12778.2,3233.7,1611.7,9544.5,5827.3,3348.1,,1177.5,319.1,290.4,,4018.8,1608.7,327.6,288.6,407,383.2,,1384.5,1238.9,,1911/20,3070.5,845,2005.3,275.7,...,...,...,617.5,291.9,220.2,68.6,,6545,176.5,453.9,2769.8,2179.3,2175.7,,875.4,1368.2,2243.6,,56418.8
163,1921/30,622.6,1.6,30.5,98.7,60,229.8,202,,5757.1,4399.7,4313.8,1357.4,421.2,286,,923.5,26.6,81.8,200.7,...,,7303.2,,6246.1,1180.9,3328,1115.9,,1921/30,5680.8,5377.4,3139.6,398.9,107.3,,13388.6,3177.5,1753.2,10211.1,6061.1,3760.6,,1148.1,292.8,373.5,,2904.4,673.1,82.5,312.6,429.4,322,,1462.9,1233.7,,1921/30,3225.6,956,2041,482.5,404.1,82.6,1.6,559.5,240.2,228.6,57.9,,5264.4,402.2,334.4,1886.1,1362.1,1922.6,,691.5,1059.6,1751.1,,48375.2
164,1931/40,294.9,-,30.6,53.1,30.8,74.2,106.2,,4003.6,3079.5,3030.1,924.1,234.1,202.8,,808.1,60,69.6,235.9,...,,5106.6,,5676.4,1337.8,2840.1,737.5,,1931/40,6736,6249.6,3509.7,508.7,221.7,,15881,2649.7,1469.6,13231.3,7345.9,5049.9,,1234.1,265.7,569.4,,2953.2,295.6,...,316.3,511.8,514.1,,1498.2,1179.8,,1931/40,3524.4,1072.9,2258.1,664.5,594.5,69.8,6.9,709.9,175.7,193.4,61.5,,4757.9,90.5,279.8,1588.9,1062.4,1514.1,,882.9,478.1,1361,,48728.8
165,1941/50,255.8,-,10.9,16,23.3,129.8,75.8,,2985.4,2319.2,2288.8,666.2,160.6,138.1,,771,85.4,21.7,185.8,...,,4012.2,,3784.4,508.8,2138.4,454.1,,1941/50,7968.7,7251,3707,656.6,452.8,,19734.9,2432.1,1315.8,17302.8,9187.7,6289.2,,1150.7,324.4,464.1,,2625.2,253.4,...,377.1,325.7,415.4,,1285.4,1044.9,,1941/50,3580.3,1094.8,2320.6,578,468.2,109.7,5.8,784,189.3,164.9,51.6,,4535.5,83,166.3,2022.4,1311.9,1077.6,,469.5,183.5,653,,49330.3
166,1951/60,57.3,-,2.2,13.7,9.5,10.5,21.4,,1006.7,803.9,790,202.8,32.9,40.7,,582.6,56.8,7.4,98,...,,1646.6,,3170.9,894.3,1242.1,395.1,,1951/60,9201.6,8255.2,3592.5,795.6,893.5,,23583.8,2129.3,1291.4,21454.5,9020.7,8670,,1337.8,351.7,687,,2460.9,96.6,...,351.7,183.2,632.9,,1156.4,875.1,,1951/60,3952.2,1057,2817.8,1142.5,1034.3,101.7,12.7,877.2,193.4,77.4,42.9,,3489.7,80.9,79.9,1721.9,982.6,669.4,,56.7,26.4,83.1,,50083
167,1961/68,23,-,1.375,5.875,6.875,2.25,6.625,,497.5,412.875,406.875,84.625,7.5,14.75,,523.125,8,5.5,48.875,...,,1043.625,,3271.5,610.875,1204.375,485.125,,1961/68,10531.75,9295.875,3413.375,957.5,1320.125,,26298,2450.625,1538.25,23847.375,9497,9897.375,,1853.375,405.5,1102.875,,2751.5,70.75,...,363.5,111.125,854.25,,1076,523.875,,1961/68,4570.5,1033.125,3420.625,1535,1378.75,121.125,40.375,1132.875,168.625,116.75,41.25,,3326.625,165.875,43.875,1639.375,965.375,370.125,,303.25,48.125,351.375,,55074.25
168,1969/76,8.5,-,0.75,4.25,2,0.25,1.25,,331,273.25,255.875,57.75,...,...,,648.25,3.5,-,31,...,,987.75,,3896.125,685.625,1313.125,709.375,,1969/76,12188.875,10859.75,3376.375,1163.625,1946.25,,26158.75,2815.125,2030,23343.625,9040.5,8555.875,,2412.625,545.5,1524.625,,2629.625,24.375,...,369.875,80.875,911.625,,1159.125,422.875,,1969/76,4886.5,1241.125,3528.75,1666.25,1502.5,117.125,51.625,1163.875,132.75,116.625,51.875,,2331.75,...,17.375,892.125,...,218,,329.375,0.75,330.125,,56981.25
169,1977/84,1.625,-,0.25,0.875,0.375,-,0.125,,157.25,130.5,123.25,26.75,...,...,,602.5,0.375,-,14.25,...,,761.375,,3515.125,317.125,1129.625,876.125,,1977/84,13761.375,12109.125,3246.625,1363.625,2419.25,,28222.75,3314,2570.25,24908.75,9517.375,7107.875,,2192.25,572.125,1278.625,,2227.625,1.625,...,347.25,42.25,820.625,,888.5,273.25,,1977/84,4833.75,1563.5,3121.5,1313.75,1212.625,85.875,22,1215.75,88.625,148.75,66.375,,1718.125,...,5.75,432.25,...,211.125,,410.25,0.375,410.625,,58531.5
170,1985/92,1.125,-,0.25,0.375,0.25,0.25,-,,92.875,74.625,74.25,18.25,...,...,,611.875,-,-,12.125,242.75,,705.875,,4034.25,400.25,1501.75,1124.875,,1985/92,16451.625,...,3188.375,1640.625,2710.75,,27308.5,...,...,...,...,...,,...,...,1339.375,,...,...,...,...,18.75,692.875,,749.5,196.375,,1985/92,5126.5,1514.25,3348.5,1027.5,926.5,75,31.875,1571.375,81,263.75,86.5,,...,...,3.625,...,...,...,,...,...,...,,61175.5
171,1993/00,0.5,-,-,0.125,-,0.125,0.25,,38.25,23.375,23.375,14.875,...,...,,855.625,-,-,5,363.625,,894.375,,4397.125,290.125,1669.625,1632.5,,1993/00,15654.375,...,2744.5,1447.75,2673.625,,25942,...,...,...,...,...,,...,...,1623.625,,...,...,...,...,15.5,578.125,,...,...,,1993/00,4486.125,1393.25,2905.25,691.25,633.625,41.25,22.25,...,...,187.625,25.5,,...,...,0.125,...,...,...,,...,...,...,,62620.25
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,Auf 100'000 lebende Personen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auf 100'000 lebende Personen,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auf 100'000 lebende Personen,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1877/80,169.40565313074046,4.2091196557761865,43.2507588056655,10.655190104752297,35.77295186839717,53.1116031185468,22.406029577602517,,252.48326646676546,209.9903318073677,...,42.49293465939776,...,...,,27.829493949687233,...,5.332160258076557,1.679995697750148,...,,449.7184135471931,,328.3752460303482,2.857818768455415,173.03955686826524,...,,1877/80,...,...,...,...,...,,330.0095896710943,...,79.46197042130184,...,...,...,,34.78773482619212,12.271272922696733,1.241735950510979,,241.04286098154296,147.83049099061222,18.762995428676923,8.76519494478338,2.182168324795029,15.675934047295772,,27.75645065848071,...,,1877/80,92.3723721420557,24.086025275352664,60.744627049628996,5.423464372084717,...,...,...,18.114736219218987,13.869094917839536,7.541719817074035,3.825642376941913,,...,8.099380282209347,25.290625082522407,...,...,...,,42.65728206461245,400.52375691959645,443.1810389842089,,2342.2974799425406
176,1881/85,144.63330986226268,4.983688698812403,8.74803962209745,11.01657501842742,29.809972942398517,65.47560287657377,24.599430703953118,,275.6908532121132,220.42365961902428,...,55.267193593088905,27.038106255007833,18.85720048199288,,29.845418807966173,...,5.409039085624273,2.594637359552404,...,,450.169581882342,,333.1769579897374,2.4953889359629677,176.22266525615754,...,,1881/85,109.19453346772042,105.32384494773241,56.08244850114499,4.948242833244748,...,,330.1640594164866,...,83.87909627930065,...,...,...,,28.790549848672736,9.2371925669311,1.8360958364045696,,218.48122618591677,129.0513073587212,21.36676776418291,8.918179776822196,2.2756245694435018,14.769841231798168,,34.325776215717866,...,,1881/85,86.43828777328541,23.769997449669972,57.52155064319181,5.607535932803145,...,...,...,17.02819381870184,12.554925584063682,5.146739680423621,3.027076919477804,,300.3788697657494,9.973807260382502,24.597893480024762,...,...,...,,13.11497026003264,254.4446013908603,267.55957165089296,,2165.104360603551
